metric,FastGDP,geosolver
macro_f1,0.9532910212833487,0.968383685280237
macro_f1_var,0.006418853916361472,0.013024393870135645
macro_precision,0.9795517676767677,0.9837208624708624
macro_precision_var,0.0020832487995485157,0.0024575858011937554
macro_recall,0.9379525335775337,0.969951923076923
macro_recall_var,0.01488815322202599,0.01769122262286325
micro_f1,0.9289256198347108,0.9509803921568627
micro_precision,0.9689655172413794,0.9797979797979798
micro_recall,0.8920634920634921,0.9238095238095239
