filename,FastGDP Primitive Detection,geosolver Primitive Detection,FastGDP Point Detection,geosolver Point Detection
0001.png,0.3883616924285889,5.147835302352906,0.677588129043579,5.339120197296142
0002.png,0.1635631561279297,4.057949495315552,0.2928173542022705,4.238862657546997
0003.png,0.11309757232666015,2.155037450790405,0.41449151039123533,2.2587589263916015
0004.png,0.1843071937561035,3.6576198577880863,0.35704545974731444,3.861671590805054
0005.png,0.428653907775879,4.9286215782165534,0.6538516521453858,5.153018045425415
0006.png,1.073130464553833,14.991913700103758,1.741543245315552,15.91782650947571
0007.png,0.35804247856140137,6.100887060165405,0.5876287460327149,6.397290039062501
0008.png,0.19388160705566407,6.754339790344238,0.3835744857788086,7.1030021667480465
0009.png,0.273668098449707,4.725564432144165,0.41987709999084477,5.004415130615234
0010.png,0.3390934467315674,3.0354834556579586,0.5345705509185791,3.1912646293640137
0011.png,0.342883586883545,3.3977150440216057,0.5696767807006836,3.6175246715545653
0012.png,0.1970731258392334,1.8570346832275393,0.3534550189971924,2.072855758666992
0013.png,0.39035630226135254,2.6219891548156733,0.5341716289520263,2.9772370815277096
0014.png,0.3734016418457031,3.3761725425720215,0.5393577098846435,3.8038262367248534
0015.png,0.12785801887512208,6.241910076141357,0.6592372894287108,6.5700279712677006
0016.png,0.2389608860015869,4.608677101135254,0.406512975692749,4.989255952835083
0017.png,0.20644817352294922,10.855175018310547,0.9255252361297608,11.272849702835082
0018.png,0.28862805366516114,3.2955878734588624,0.45039601325988765,3.5818201065063473
0019.png,0.2437483310699463,2.296260166168213,0.38736438751220703,2.4855523109436035
0020.png,0.32911996841430663,2.5683325290679933,0.5341716289520263,2.7470527172088626
0021.png,0.4785204887390137,7.300279998779297,0.6807796001434325,7.61902232170105
0022.png,0.4384276390075683,6.982130956649781,0.6339051723480225,7.317827844619751
0023.png,0.3755958080291748,3.892591571807862,0.6183464527130127,4.0659253120422365
0024.png,0.12885513305664062,0.9147539615631104,0.25551681518554686,0.9821731090545653
0025.png,0.16735239028930662,13.193123531341552,1.1453375816345215,14.05820016860962
0026.png,0.5658869266510009,4.218320751190186,0.7071095466613769,4.429353380203247
0027.png,0.279054069519043,6.8343260288238525,0.5900225162506104,7.104997205734254
0028.png,0.45139298439025877,3.3937256813049315,0.6217374801635742,3.5943863868713377
0029.png,0.32353525161743163,2.986614656448364,0.509836769104004,3.1052946567535398
0030.png,0.23676671981811523,10.157639980316162,0.8666826248168944,10.597256565093993
0031.png,0.1460094451904297,6.34463529586792,0.3999305725097656,6.68751368522644
0032.png,0.4055156230926514,2.851575326919556,0.5100360870361328,3.0542312145233153
0033.png,0.2054506778717041,6.7026779651641855,0.9285172462463378,7.132323837280273
0034.png,0.16456022262573242,3.502036190032959,0.4226700305938721,3.637670803070069
0035.png,0.2842399597167969,6.707265758514405,0.4075104236602783,6.919692659378051
0036.png,0.735034990310669,21.004437255859376,1.1674785614013672,21.831210565567016
0037.png,0.14999890327453613,6.280008029937743,0.4942783355712891,6.612314796447754
0038.png,0.3207422733306885,22.646646308898926,0.7966696739196777,23.447687292099
0039.png,0.28842854499816895,9.542883729934692,0.9293150901794435,10.032766580581665
0040.png,0.15099635124206542,2.1364873409271237,0.24554343223571778,2.290473699569702
